timestamp,latitude,longitude,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1650796047,45.047215,7.711262,13.000000,46.000000,9.490932,1.000000
1650796079,45.046288,7.711811,13.000000,46.000000,9.490932,1.000000
1650796109,45.045933,7.712054,13.000000,46.000000,9.490932,1.000000
1650796109,45.045933,7.712054,11.000000,46.000000,4.019301,9.613634
1650796134,45.045128,7.712942,11.000000,46.000000,4.019301,9.613634
1650796175,45.044380,7.713608,11.000000,46.000000,4.019301,9.613634
1650796175,45.044380,7.713608,10.000000,53.000000,28.197578,8.964952
1650796204,45.044273,7.714527,10.000000,53.000000,28.197578,8.964952
1650796235,45.044178,7.715822,10.000000,53.000000,28.197578,8.964952
1650796235,45.044178,7.715822,9.000000,50.000000,9.964952,10.067252
1650796264,45.043896,7.716135,9.000000,50.000000,9.964952,10.067252
1650796300,45.043587,7.715765,9.000000,50.000000,9.964952,10.067252
1650796300,45.043587,7.715765,8.000000,49.000000,11.067252,1.000000
1650796329,45.043076,7.715436,8.000000,49.000000,11.067252,1.000000
1650796335,45.043179,7.715871,8.000000,49.000000,11.067252,1.000000
1650796360,45.042873,7.715956,7.000000,55.000000,39.633759,6.288428
1650796388,45.042450,7.715695,7.000000,55.000000,39.633759,6.288428
1650796423,45.041370,7.715114,7.000000,55.000000,39.633759,6.288428
1650796423,45.041370,7.715114,8.000000,60.000000,7.288428,1.000000
1650796425,45.041676,7.715148,8.000000,60.000000,7.288428,1.000000
1650796456,45.041245,7.715059,8.000000,60.000000,7.288428,1.000000
1650796456,45.041245,7.715059,8.000000,65.000000,2.000000,1.000000
1650796487,45.040489,7.714483,8.000000,65.000000,2.000000,1.000000
1650796517,45.040516,7.713842,8.000000,65.000000,2.000000,1.000000
1650796517,45.040516,7.713842,6.000000,57.000000,2.000000,1.000000
1650796549,45.044292,7.716843,6.000000,57.000000,2.000000,1.000000
1650796553,45.040070,7.714201,6.000000,57.000000,2.000000,1.000000
1650796589,45.039909,7.713859,6.000000,57.000000,2.000000,1.000000
1650796589,45.039909,7.713859,2.000000,53.000000,73.441750,14.101475
1650796608,45.039692,7.713413,2.000000,53.000000,73.441750,14.101475
1650796645,45.039852,7.711600,2.000000,53.000000,73.441750,14.101475
1650796645,45.039852,7.711600,1.000000,53.000000,97.139709,18.602600
1650796696,45.040421,7.709922,1.000000,53.000000,97.139709,18.602600
1650796696,45.040421,7.709922,2.000000,58.000000,19.602600,1.000000
1650796740,45.041225,7.709010,2.000000,58.000000,19.602600,1.000000
1650796776,45.041725,7.708605,2.000000,58.000000,19.602600,1.000000
1650796776,45.041725,7.708605,2.000000,59.000000,6.801108,1.000000
1650796800,45.042675,7.708959,2.000000,59.000000,6.801108,1.000000
1650796813,45.041756,7.707500,2.000000,59.000000,6.801108,1.000000
1650796860,45.042675,7.708959,2.000000,59.000000,6.801108,1.000000
1650796860,45.042675,7.708959,3.000000,63.000000,2.000000,1.000000
1650796865,45.041180,7.707294,3.000000,63.000000,2.000000,1.000000
1650796921,45.042675,7.708959,3.000000,63.000000,2.000000,1.000000
1650796921,45.042675,7.708959,0.000000,61.000000,9.378222,1.962014
1650796924,45.040859,7.706951,0.000000,61.000000,9.378222,1.962014
1650796963,45.040924,7.707861,0.000000,61.000000,9.378222,1.962014
1650796963,45.040924,7.707861,0.000000,61.000000,2.962014,1.000000
1650797016,45.039734,7.713394,0.000000,61.000000,2.962014,1.000000
1650797016,45.039734,7.713394,0.000000,67.000000,2.000000,1.000000
1650797021,45.039314,7.709925,0.000000,67.000000,2.000000,1.000000
1650797054,45.038979,7.710228,0.000000,67.000000,2.000000,1.000000
1650797090,45.038780,7.710968,0.000000,67.000000,2.000000,1.000000
1650797090,45.038780,7.710968,0.000000,75.000000,2.000000,1.000000
1650797150,45.038429,7.711381,0.000000,75.000000,2.000000,1.000000
1650797150,45.038429,7.711381,0.000000,81.000000,2.000000,1.000000
1650797210,45.038212,7.711735,0.000000,81.000000,2.000000,1.000000
1650797210,45.038212,7.711735,0.000000,75.000000,2.000000,1.000000
1650797240,45.038113,7.712567,0.000000,75.000000,2.000000,1.000000
1650797240,45.038113,7.712567,0.000000,0.000000,2.000000,1.000000
1650797270,45.037655,7.713680,0.000000,0.000000,2.000000,1.000000
1650797301,45.036999,7.713505,0.000000,0.000000,2.000000,1.000000
