timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1647412652,1077.08.00,11441.01.00,0.00,18.00,5490.49.00,11467.30.00
1647412652,1077.08.00,11441.01.00,0.00,17.00,5313.19.00,4395.30.00
1647412664,1079.52.00,11446.56.00,0.00,17.00,5313.19.00,4395.30.00
1647412712,1088.04.00,11445.29.00,0.00,17.00,5313.19.00,4395.30.00
1647412712,1088.04.00,11445.29.00,0.00,17.00,5380.06.00,10593.15.00
1647412742,1093.32.00,11453.04.00,0.00,17.00,5380.06.00,10593.15.00
1647416733,1221.46.00,11552.46.00,11.00,79.00.00,14697.37.00,11750.31.00
1647416733,1221.46.00,11552.46.00,11.00,78.00.00,3450.18.00,9671.46.00
1647417012,1221.58.00,11552.34.00,10.00,79.00.00,13534.51.00,12078.49.00
1647417012,1221.58.00,11552.34.00,11.00,79.00.00,12297.57.00,7850.48.00
1647417284,1222.21.00,11553.25.00,10.00,78.00.00,14520.17.00,713.29.00
1647417284,1222.21.00,11553.25.00,10.00,78.00.00,6525.25.00,6926.17.00
1647417554,1222.28.00,11553.31.00,11.00,77.00.00,2562.17.00,4715.09.00
1647417554,1222.28.00,11553.31.00,11.00,76.00.00,9414.39.00,2571.30.00
1647417844,1221.58.00,11552.36.00,11.00,78.00.00,7757.57.00,6294.14.00
1647417844,1221.58.00,11552.36.00,11.00,78.00.00,13072.36.00,11776.41.00
1647418120,1221.58.00,11553.21.00,10.00,77.00.00,14329.37.00,7723.26.00
1647418120,1221.58.00,11553.21.00,10.00,77.00.00,1934.05.00,13252.09.00
1647418414,1222.21.00,11551.21.00,10.00,80.00.00,4519.30.00,10704.29.00
1647418414,1222.21.00,11551.21.00,10.00,84.00.00,16404.53.00,13655.34.00
1647418697,1222.17.00,11552.38.00,9.00,84.00.00,13525.42.00,9230.06.00
1647418697,1222.17.00,11552.38.00,9.00,84.00.00,15664.04.00,4462.47.00
1647418981,1222.21.00,11553.02.00,9.00,85.00.00,9808.08.00,14860.29.00
1647418981,1222.21.00,11553.02.00,9.00,87.00.00,4715.30.00,6815.01.00
1647419262,1222.24.00,11552.51.00,9.00,84.00.00,4921.04.00,9159.20.00
