timestamp,latitude,longitude,NO2 (ppb),superato limite,percentuale sup
1645609685,45.070911,7.692845,13.000000,SI, 30
1645609739,45.070755,7.692128,13.000000,SI, 30
1645609739,45.070755,7.692128,12.000000,SI, 20
1645609795,45.070889,7.692477,12.000000,SI, 20
1645609850,45.070580,7.692291,12.000000,SI, 20
1645609942,45.070400,7.691940,13.000000,SI, 30
1645609942,45.070400,7.691940,13.000000,SI, 30
1645610054,45.074280,7.692837,12.000000,SI, 20
1645610054,45.074280,7.692837,13.000000,SI, 30
1645610103,45.070667,7.692161,13.000000,SI, 30
1645610103,45.070667,7.692161,0.000000,NO, 30
1645610130,45.070404,7.692363,0.000000,NO, 30
1645610222,45.070454,7.691973,0.000000,NO, 30
1645610222,45.070454,7.691973,0.000000,NO, 30
1645612021,45.070286,7.692323,12.000000,SI, 20
1645612021,45.070286,7.692323,13.000000,SI, 30
1645612058,45.070457,7.691827,13.000000,SI, 30
1645612264,45.070538,7.692220,13.000000,SI, 30
1645612264,45.070538,7.692220,13.000000,SI, 30
1645612319,45.070274,7.692124,13.000000,SI, 30
1645612319,45.070274,7.692124,13.000000,SI, 30
1645613238,45.070553,7.692085,11.000000,SI, 10
1645613238,45.070553,7.692085,10.000000,NO, 10
1645613432,45.070278,7.691983,8.000000,NO, 10
1645613432,45.070278,7.691983,0.000000,NO, 10
1645613504,45.070438,7.692292,0.000000,NO, 10
1645613504,45.070438,7.692292,0.000000,NO, 10
1645613619,45.070202,7.692062,0.000000,NO, 10
1645613619,45.070202,7.692062,0.000000,NO, 10
1645613680,45.070438,7.692247,0.000000,NO, 10
1645613680,45.070438,7.692247,0.000000,NO, 10
1645613803,45.070805,7.692471,0.000000,NO, 10
1645613803,45.070805,7.692471,0.000000,NO, 10
1645613834,45.070969,7.692821,0.000000,NO, 10
1645613834,45.070969,7.692821,0.000000,NO, 10
1645613847,45.070637,7.692483,0.000000,NO, 10
1645613864,45.071007,7.692816,0.000000,NO, 10
1645613926,45.070759,7.692569,0.000000,NO, 10
1645613926,45.070759,7.692569,0.000000,NO, 10
1645613956,45.070480,7.692356,0.000000,NO, 10
1645613956,45.070480,7.692356,0.000000,NO, 10
1645614048,45.070229,7.691932,0.000000,NO, 10
1645614048,45.070229,7.691932,9.000000,NO, 10
1645614238,45.070580,7.692229,9.000000,NO, 10
1645614238,45.070580,7.692229,9.000000,NO, 10
1645614415,45.070137,7.691936,9.000000,NO, 10
1645614455,45.070412,7.692018,8.000000,NO, 10
1645614782,45.070438,7.692409,9.000000,NO, 10
1645614782,45.070438,7.692409,10.000000,NO, 10
1645614831,45.070381,7.692001,10.000000,NO, 10
1645614896,45.070271,7.692357,9.000000,NO, 10
1645614896,45.070271,7.692357,9.000000,NO, 10
1645614923,45.070499,7.692058,9.000000,NO, 10
1645615032,45.070198,7.691991,9.000000,NO, 10
1645615032,45.070198,7.691991,9.000000,NO, 10
1645615079,45.070473,7.692000,9.000000,NO, 10
1645615079,45.070473,7.692000,9.000000,NO, 10
1645615496,45.070194,7.692338,9.000000,NO, 10
1645615496,45.070194,7.692338,8.000000,NO, 10
1645615517,45.070370,7.691951,8.000000,NO, 10
1645615589,45.070419,7.692344,8.000000,NO, 10
1645615589,45.070419,7.692344,8.000000,NO, 10
1645615704,45.070282,7.691941,10.000000,NO, 10
1645615704,45.070282,7.691941,9.000000,NO, 10
1645616013,45.070568,7.692219,2.000000,NO, 10
1645616013,45.070568,7.692219,2.000000,NO, 10
1645616130,45.070332,7.691878,2.000000,NO, 10
1645616130,45.070332,7.691878,2.000000,NO, 10
1645616474,45.070599,7.691992,3.000000,NO, 10
1645616474,45.070599,7.691992,2.000000,NO, 10
1645616527,45.070221,7.692130,2.000000,NO, 10
1645616527,45.070221,7.692130,2.000000,NO, 10
1645616565,45.070538,7.692051,2.000000,NO, 10
1645616601,45.070232,7.692090,2.000000,NO, 10
1645616601,45.070232,7.692090,2.000000,NO, 10
1645616901,45.070541,7.692293,5.000000,NO, 10
1645616901,45.070541,7.692293,5.000000,NO, 10
1645617020,45.070938,7.692710,5.000000,NO, 10
1645617020,45.070938,7.692710,5.000000,NO, 10
1645617508,45.070641,7.692443,8.000000,NO, 10
1645617508,45.070641,7.692443,8.000000,NO, 10
1645617516,45.071011,7.692992,8.000000,NO, 10
1645617583,45.070480,7.693775,8.000000,NO, 10
1645617583,45.070480,7.693775,7.000000,NO, 10
1645617617,45.069897,7.693475,7.000000,NO, 10
1645617617,45.069897,7.693475,6.000000,NO, 10
1645617633,45.068504,7.693567,6.000000,NO, 10
1645617682,45.069157,7.692956,6.000000,NO, 10
1645617682,45.069157,7.692956,6.000000,NO, 10
1645617709,45.068615,7.692590,6.000000,NO, 10
1645617740,45.068344,7.692637,6.000000,NO, 10
1645617740,45.068344,7.692637,5.000000,NO, 10
1645617771,45.068035,7.693308,5.000000,NO, 10
1645617806,45.067776,7.693809,5.000000,NO, 10
1645617806,45.067776,7.693809,4.000000,NO, 10
1645617839,45.067245,7.693334,4.000000,NO, 10
1645617839,45.067245,7.693334,5.000000,NO, 10
1645617900,45.068127,7.693298,5.000000,NO, 10
1645617900,45.068127,7.693298,4.000000,NO, 10
1645617931,45.067204,7.693277,4.000000,NO, 10
1645618173,45.067154,7.692107,5.000000,NO, 10
1645618173,45.067154,7.692107,6.000000,NO, 10
1645618211,45.067150,7.693462,6.000000,NO, 10
1645618211,45.067150,7.693462,5.000000,NO, 10
1645618228,45.067390,7.689689,5.000000,NO, 10
1645618241,45.067150,7.693469,5.000000,NO, 10
1645618309,45.066803,7.693052,5.000000,NO, 10
1645618309,45.066803,7.693052,6.000000,NO, 10
1645618332,45.067150,7.693464,6.000000,NO, 10
1645618332,45.067150,7.693464,6.000000,NO, 10
1645618336,45.066940,7.693195,6.000000,NO, 10
1645618372,45.067146,7.693464,6.000000,NO, 10
1645618405,45.068016,7.688295,6.000000,NO, 10
1645618405,45.068016,7.688295,5.000000,NO, 10
1645618408,45.067127,7.693457,5.000000,NO, 10
